Date,Product_ID,Product_Name,Category,Warehouse,Units_Sold,Inventory_Left,Price,Demand_Forecast
2024-01-01,P001,Product_1,Stationery,W3,14,81,135.84,18
2024-01-01,P002,Product_2,Groceries,W3,23,80,48.45,12
2024-01-01,P003,Product_3,Groceries,W1,37,67,35.41,38
2024-01-01,P004,Product_4,Stationery,W1,44,63,119.06,38
2024-01-01,P005,Product_5,Clothing,W1,6,96,284.27,19
2024-01-01,P006,Product_6,Clothing,W1,33,58,238.08,29
2024-01-01,P007,Product_7,Groceries,W2,17,92,79.68,17
2024-01-01,P008,Product_8,Clothing,W1,17,78,277.45,21
2024-01-01,P009,Product_9,Stationery,W2,8,100,38.0,15
2024-01-01,P010,Product_10,Stationery,W3,1,92,17.59,12
2024-01-01,P011,Product_11,Clothing,W2,29,62,272.88,32
2024-01-01,P012,Product_12,Electronics,W1,20,75,694.13,20
2024-01-01,P013,Product_13,Stationery,W1,28,65,86.36,31
2024-01-01,P014,Product_14,Stationery,W2,32,66,75.04,33
2024-01-01,P015,Product_15,Stationery,W1,13,88,128.34,15
2024-01-01,P016,Product_16,Groceries,W1,29,76,8.01,34
2024-01-01,P017,Product_17,Groceries,W2,22,82,51.58,14
2024-01-01,P018,Product_18,Clothing,W1,13,84,259.37,20
2024-01-01,P019,Product_19,Groceries,W3,28,81,98.68,30
2024-01-01,P020,Product_20,Clothing,W3,35,62,116.38,29
2024-01-01,P021,Product_21,Groceries,W3,44,58,39.32,35
2024-01-01,P022,Product_22,Stationery,W1,31,66,60.97,23
2024-01-01,P023,Product_23,Stationery,W1,24,82,28.05,19
2024-01-01,P024,Product_24,Electronics,W3,48,49,750.65,32
2024-01-01,P025,Product_25,Groceries,W1,38,57,57.84,28
2024-01-01,P026,Product_26,Stationery,W2,31,74,103.38,33
2024-01-01,P027,Product_27,Clothing,W2,24,72,271.5,30
2024-01-01,P028,Product_28,Clothing,W3,33,59,171.01,38
2024-01-01,P029,Product_29,Groceries,W3,36,71,26.19,28
2024-01-01,P030,Product_30,Stationery,W2,8,93,22.7,15
2024-01-01,P031,Product_31,Electronics,W2,13,81,561.62,19
2024-01-01,P032,Product_32,Electronics,W3,30,72,452.58,36
2024-01-01,P033,Product_33,Clothing,W2,28,74,292.95,21
2024-01-01,P034,Product_34,Clothing,W3,43,56,103.21,33
2024-01-01,P035,Product_35,Groceries,W2,51,44,61.22,38
2024-01-01,P036,Product_36,Clothing,W3,7,84,112.25,20
2024-01-01,P037,Product_37,Electronics,W2,40,60,953.91,34
2024-01-01,P038,Product_38,Groceries,W2,16,85,81.79,23
2024-01-01,P039,Product_39,Stationery,W3,2,105,76.5,14
2024-01-01,P040,Product_40,Electronics,W1,39,55,956.41,34
2024-01-01,P041,Product_41,Electronics,W2,35,66,354.84,36
2024-01-01,P042,Product_42,Groceries,W1,30,75,80.23,36
2024-01-01,P043,Product_43,Electronics,W2,22,69,554.74,23
2024-01-01,P044,Product_44,Stationery,W2,16,78,94.34,16
2024-01-01,P045,Product_45,Groceries,W3,46,56,73.85,37
2024-01-01,P046,Product_46,Clothing,W2,11,97,165.16,15
2024-01-01,P047,Product_47,Clothing,W1,32,61,182.82,28
2024-01-01,P048,Product_48,Clothing,W3,20,87,229.88,23
2024-01-01,P049,Product_49,Groceries,W1,20,83,40.67,27
2024-01-01,P050,Product_50,Stationery,W1,16,85,112.48,12
2024-01-02,P001,Product_1,Electronics,W3,15,78,748.99,10
2024-01-02,P002,Product_2,Stationery,W3,34,74,98.18,31
2024-01-02,P003,Product_3,Electronics,W3,9,87,823.38,12
2024-01-02,P004,Product_4,Stationery,W2,30,62,60.94,21
2024-01-02,P005,Product_5,Stationery,W2,50,44,113.15,36
2024-01-02,P006,Product_6,Clothing,W2,15,90,278.05,13
2024-01-02,P007,Product_7,Electronics,W2,28,76,909.92,27
2024-01-02,P008,Product_8,Groceries,W3,25,67,99.61,17
2024-01-02,P009,Product_9,Clothing,W1,10,80,101.58,14
2024-01-02,P010,Product_10,Stationery,W1,33,65,50.01,33
2024-01-02,P011,Product_11,Groceries,W1,5,96,72.77,13
2024-01-02,P012,Product_12,Clothing,W2,41,64,186.76,39
2024-01-02,P013,Product_13,Electronics,W2,29,78,853.24,28
2024-01-02,P014,Product_14,Clothing,W3,13,78,131.76,15
2024-01-02,P015,Product_15,Stationery,W3,31,59,118.65,29
2024-01-02,P016,Product_16,Stationery,W3,21,82,100.63,29
2024-01-02,P017,Product_17,Stationery,W3,25,66,36.86,34
2024-01-02,P018,Product_18,Stationery,W2,37,53,19.92,39
2024-01-02,P019,Product_19,Stationery,W2,32,70,146.41,36
2024-01-02,P020,Product_20,Stationery,W1,32,65,107.33,38
2024-01-02,P021,Product_21,Stationery,W1,22,85,88.65,32
2024-01-02,P022,Product_22,Electronics,W3,28,73,235.53,33
2024-01-02,P023,Product_23,Clothing,W3,12,81,260.75,20
2024-01-02,P024,Product_24,Clothing,W1,24,70,235.23,25
2024-01-02,P025,Product_25,Clothing,W3,36,54,235.71,33
2024-01-02,P026,Product_26,Clothing,W1,7,93,255.62,21
2024-01-02,P027,Product_27,Groceries,W2,34,59,43.81,37
2024-01-02,P028,Product_28,Electronics,W2,50,49,424.09,38
2024-01-02,P029,Product_29,Electronics,W1,30,62,256.99,18
2024-01-02,P030,Product_30,Clothing,W3,31,75,296.91,23
2024-01-02,P031,Product_31,Electronics,W2,19,72,522.09,24
2024-01-02,P032,Product_32,Stationery,W1,0,99,133.48,15
2024-01-02,P033,Product_33,Clothing,W1,48,61,227.42,33
2024-01-02,P034,Product_34,Clothing,W2,11,92,84.12,11
2024-01-02,P035,Product_35,Groceries,W2,28,75,82.56,35
2024-01-02,P036,Product_36,Groceries,W2,11,84,37.28,17
2024-01-02,P037,Product_37,Stationery,W3,18,89,130.39,14
2024-01-02,P038,Product_38,Groceries,W3,14,87,70.61,14
2024-01-02,P039,Product_39,Groceries,W3,27,75,20.88,27
2024-01-02,P040,Product_40,Clothing,W2,35,71,229.51,34
2024-01-02,P041,Product_41,Electronics,W3,30,64,743.57,31
2024-01-02,P042,Product_42,Stationery,W2,14,89,49.3,13
2024-01-02,P043,Product_43,Clothing,W2,29,62,242.83,31
2024-01-02,P044,Product_44,Groceries,W1,0,106,67.69,13
2024-01-02,P045,Product_45,Clothing,W1,15,80,126.59,21
2024-01-02,P046,Product_46,Groceries,W2,34,73,39.35,39
2024-01-02,P047,Product_47,Stationery,W2,38,60,22.25,34
